unidade;setor_centro_custo;ano;mes;dias_mes;leitos;saidas;giro_de_leitos;tx_ocupacao;tx_descocupacao;media_permanencia;iisl
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;5;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;6;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;7;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;8;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;9;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;10;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;11;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2023;12;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;1;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;2;29;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;3;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;4;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;5;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;6;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;7;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;8;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;9;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;10;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;11;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2024;12;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;1;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;2;28;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;3;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;4;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;5;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;6;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;7;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;8;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;9;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;10;31;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;11;30;0;0;;;1,0;0,0;
CSSFA;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2025;12;31;0;0;;;1,0;0,0;
